Chapter,Sector,Ministry Code,Description,2000,1999
Chapter 1: Manpower Expenses,Public Administration Sector,11,Prime Minister's Court,536300,536300
Chapter 1: Manpower Expenses,Public Administration Sector,12,Ministry of Defence,89689700,89689700
Chapter 1: Manpower Expenses,Public Administration Sector,50,National Guard,4300000,4150000
Chapter 1: Manpower Expenses,Public Administration Sector,13,Ministry of Interior,85973000,84473000
Chapter 1: Manpower Expenses,Public Administration Sector,71,Ministry of Cabinet and Information Affairs (Cabinet Affairs),720000,700000
Chapter 1: Manpower Expenses,Public Administration Sector,72,Civil Service Bureau,1905677,1861677
Chapter 1: Manpower Expenses,Public Administration Sector,73,Central Statistics Organisation,1689000,1655000
Chapter 1: Manpower Expenses,Public Administration Sector,15,Ministry of Cabinet Affairs and Information (Legal Affairs Section),302000,300500
Chapter 1: Manpower Expenses,Public Administration Sector,16,Ministry of Foreign Affairs,5762800,5700800
Chapter 1: Manpower Expenses,Public Administration Sector,18,Ministry of Justice and Islamic Affairs,3989620,3880401
Chapter 1: Manpower Expenses,Social Services Sector,20,Ministry of Cabinet and Information Affairs (Information Affairs),2887800,2817300
Chapter 1: Manpower Expenses,Social Services Sector,21,Ministry of Education,74998000,72335000
Chapter 1: Manpower Expenses,Social Services Sector,22,Ministry of Health,42900000,41550000
Chapter 1: Manpower Expenses,Social Services Sector,24,Ministry of Labour and Social Affairs,3426000,3376000
Chapter 1: Manpower Expenses,Social Services Sector,26,General Organization for Youth & Sports,1819500,1754000
Chapter 1: Manpower Expenses,Economic Services Sector,34,Ministry of Commerce,2066986,2017220
Chapter 1: Manpower Expenses,Economic Services Sector,51,Ministry of Oil & Industry,1475600,1443600
Chapter 1: Manpower Expenses,Economic Services Sector,81,Ministry of Finance & National Economy,3362000,3284000
Chapter 1: Manpower Expenses,Economic Services Sector,82,Central Stores Directorate,1394225,1360909
Chapter 1: Manpower Expenses,Infrastructure Sector,45,"Ministry of Housing, Municipalities & Environment (Housing Affairs)",4390000,4312000
Chapter 1: Manpower Expenses,Infrastructure Sector,46,Ministry of Works & Agriculture,13020266,12757266
Chapter 1: Manpower Expenses,Infrastructure Sector,47,Ministry of Electricity & Water,24000000,23520000
Chapter 1: Manpower Expenses,Infrastructure Sector,47 60,Hidd Power & Water Station,1500000,1000000
Chapter 1: Manpower Expenses,Infrastructure Sector,48,Ministry of Transportation,6035290,5873290
Chapter 1: Manpower Expenses,Infrastructure Sector,52,Civil Aviation Affairs,5511943,5522775
Chapter 1: Manpower Expenses,Infrastructure Sector,83,Customs & Ports Affairs,10645600,10368200
Chapter 1: Manpower Expenses,Miscellaneous Budget,19,Supreme Council for Oil,70990,69200
Chapter 1: Manpower Expenses,Miscellaneous Budget,27,"Ministry of Housing, Municipalities & Environment (Environment Affairs)",384738,364738
