Chapter,Section,Sector,Description,2000,1999
1,1,Oil and natural gas,Oil sales,194500000,198500000
1,2,Oil and natural gas,Gas sales,60000000,60000000
1,3,Oil and natural gas,Oil taxes and duties,1500000,1500000
2,1,Taxes and duties,Taxes and duties on consumption of goods and products,1900000,1900000
2,2,Taxes and duties,Taxes and duties on international trade,68135000,64093000
2,3,Taxes and duties,Registration and license fees,10965000,10331000
2,4,Taxes and duties,Administrative fees and duties,42922000,41647000
3,1,Government good and services,Government services,40278000,39013000
3,2,Government good and services,Government products,58269000,56258000
4,1,Government investments and properties,Investments,35104000,34557000
4,2,Government investments and properties,Rent,4482000,4445000
4,3,Government investments and properties,Concessions,2327000,2327000
5,1,Grants,Foreign grants,47000000,47000000
6,1,Sales of capital assets,Sales of equipment and tools,85000,84000
6,2,Sales of capital assets,Auctions,12000,12000
7,1,"Fines, penalties and miscellaneous income",Fines and penalties,2749000,2698000
7,2,"Fines, penalties and miscellaneous income",Other income,1772000,1635000
,,,Total,572000000,566000000
