Sector,Description,Chapter,2004,2003,Ministry Code
Public Administration Sector,Prime Minister's Court,Chapter one,2168000,2152000,11
Public Administration Sector,Prime Minister's Court,Other chapters,380000,395000,11
Public Administration Sector,Ministry of Defence,Chapter one,125170090,120679000,12
Public Administration Sector,Ministry of Defence,Other chapters,45874910,48531000,12
Public Administration Sector,National Guard,Chapter one,8127000,7432000,50
Public Administration Sector,National Guard,Other chapters,1371000,1371000,50
Public Administration Sector,Ministry of Interior,Chapter one,99172000,96793000,13
Public Administration Sector,Ministry of Interior,Other chapters,13210000,13210000,13
Public Administration Sector,Ministry of Cabinet Affairs,Chapter one,823000,806000,71
Public Administration Sector,Ministry of Cabinet Affairs,Other chapters,377000,344000,71
Public Administration Sector,Civil Services Bureau,Chapter one,2613000,2568000,72
Public Administration Sector,Civil Services Bureau,Other chapters,618000,584000,72
Public Administration Sector,Central Informatics Organization,Chapter one,2910000,2836000,73
Public Administration Sector,Central Informatics Organization,Other chapters,654000,688000,73
Public Administration Sector,Ministry of Cabinet Affair (Legal Affairs),Chapter one,514000,509000,15
Public Administration Sector,Ministry of Cabinet Affair (Legal Affairs),Other chapters,151000,151000,15
Public Administration Sector,Ministry of Foreign Affairs,Chapter one,7781000,7707000,16
Public Administration Sector,Ministry of Foreign Affairs,Other chapters,4534000,4702000,16
Public Administration Sector,Ministry of Justice,Chapter one,5433000,5008000,18
Public Administration Sector,Ministry of Justice,Other chapters,2012000,1338000,18
Public Administration Sector,Ministry of Islamic Affairs,Chapter one,693000,673000,77
Public Administration Sector,Ministry of Islamic Affairs,Other chapters,620000,838000,77
Public Administration Sector,Survey & Land Registration Bereau,Chapter one,1245000,1195000,78
Public Administration Sector,Survey & Land Registration Bereau,Other chapters,300000,305000,78
Social Services Sector,Ministry of Infromation,Chapter one,4236000,4017000,20
Social Services Sector,Ministry of Infromation,Other chapters,4164000,3983000,20
Social Services Sector,Ministry of Education,Chapter one,106753000,102490000,21
Social Services Sector,Ministry of Education,Other chapters,18658000,18707000,21
Social Services Sector,Education Development Programme,Chapter one,260000,260000,21 80
Social Services Sector,Education Development Programme,Other chapters,1240000,1240000,21 80
Social Services Sector,Ministry of Health,Chapter one,58721000,55641000,22
Social Services Sector,Ministry of Health,Other chapters,19900000,19947000,22
Social Services Sector,Ministry of Labour & Social Affairs,Chapter one,4941000,4827000,24
Social Services Sector,Ministry of Labour & Social Affairs,Other chapters,6244000,6136000,24
Social Services Sector,General Organization for Youth & Sports,Chapter one,2235000,2204000,26
Social Services Sector,General Organization for Youth & Sports,Other chapters,5259000,5242000,26
Economic Services Sector,Ministry of Commerce,Chapter one,2876000,2712000,34
Economic Services Sector,Ministry of Commerce,Other chapters,1215000,1288000,34
Economic Services Sector,Ministry of Industry,Chapter one,668000,652000,56
Economic Services Sector,Ministry of Industry,Other chapters,446000,446000,56
Economic Services Sector,Ministry of Oil,Chapter one,1146000,1119000,51
Economic Services Sector,Ministry of Oil,Other chapters,534000,481000,51
Economic Services Sector,Ministry of Finance & National Economy,Chapter one,4541000,4442000,81
Economic Services Sector,Ministry of Finance & National Economy,Other chapters,2132000,1958000,81
Economic Services Sector,Central Stores Directorate,Chapter one,1775000,1735000,82
Economic Services Sector,Central Stores Directorate,Other chapters,194000,193000,82
Infrastructure Sector,Ministry of Works & Housing,Chapter one,17465000,17039000,46
Infrastructure Sector,Ministry of Works & Housing,Other chapters,3277000,3395000,46
Infrastructure Sector,Ministry of Electricity & Water,Chapter one,30243000,29825000,47
Infrastructure Sector,Ministry of Electricity & Water,Other chapters,21552000,20106000,47
Infrastructure Sector,Ministry of Transportation,Chapter one,6035000,5895000,48
Infrastructure Sector,Ministry of Transportation,Other chapters,2365000,2105000,48
Infrastructure Sector,Civil Aviation Affairs,Chapter one,7107000,6959000,52
Infrastructure Sector,Civil Aviation Affairs,Other chapters,5223000,5274000,52
Infrastructure Sector,Customs & Ports Affairs,Chapter one,13801000,13471000,83
Infrastructure Sector,Customs & Ports Affairs,Other chapters,3113000,3146000,83
Miscellaneous Budget,Supreme Council for Oil,Chapter one,110000,98000,19
Miscellaneous Budget,Supreme Council for Oil,Other chapters,36000,42000,19
Miscellaneous Budget,Equestrian & Horse Racing Club,Chapter one,481000,470000,28
Miscellaneous Budget,Equestrian & Horse Racing Club,Other chapters,385000,385000,28
Miscellaneous Budget,Public Commission For The Protection Of Marine Resources Enviroment And Wildlife,Chapter one,1686000,1650000,41
Miscellaneous Budget,Public Commission For The Protection Of Marine Resources Enviroment And Wildlife,Other chapters,464000,450000,41
Miscellaneous Budget,Mohd Bin Khalifa Al Khalifa Cardiac Center,Chapter one,2394000,2394000,43
Miscellaneous Budget,Mohd Bin Khalifa Al Khalifa Cardiac Center,Other chapters,2131000,2131000,43
Miscellaneous Budget,Ministry of Municipalities Affairs And Agriculture Affairs (Agriculture Affairs),Chapter one,3779000,3707000,23
