Sector,Description,2006,2005,Ministry Code
Public Administration Sector,Ministry of Interior,36603851,35027609,13
Public Administration Sector,Ministry of State for Cabinet Affairs ( Legal Affairs ),41581,39791,15
Public Administration Sector,Ministry of Foreign Affairs,1346115,1288148,16
Public Administration Sector,Ministry of Justice,4498926,4068422,18
Public Administration Sector,Central Informatics Organization,400000,400000,73
Public Administration Sector,Ministry of Islamic Affairs,11207,10724,77
Public Administration Sector,Survey & Land Registration Bureau,12860101,12306316,78
Social Services Sector,Ministry of Information,5470000,5250000,20
Social Services Sector,Ministry of Education,253136,242235,21
Social Services Sector,Ministry of Health,7829423,7492270,22
Social Services Sector,Ministry of Labour,18530673,17733571,24
Social Services Sector,Ministry of Social Affairs,73248,69224,29
Economic Services Sector,Ministry of Industry & Commerce,16149874,15608636,34-56
Economic Services Sector,Ministry of Oil,898746000,892995006,51
Economic Services Sector,Ministry of Finance,90813715,88201340,81
Economic Services Sector,Central Stores Directorate,391951,375072,82
Infrastructure Sector,Ministry of Works & Housing,221540,212000,46
Infrastructure Sector,Ministry of Electricity & Water,77955810,74598861,47
Infrastructure Sector,Ministry of Transportation,5731759,5484936,48
Infrastructure Sector,Civil Aviation Affairs,15506393,15055024,52
Infrastructure Sector,"Customs,Ports & Free Zones Affairs",80826585,77346015,83
Miscellaneous Budget,Ministry of Municipalities Affairs & Agriculture (Agriculture Affairs),285500,250000,23
Miscellaneous Budget,Ministry of Municipalities Affairs & Agriculture (Municipalities Affairs),1200,1200,25
Miscellaneous Budget,"Public Commission For the Protection of Marine Resources, Environment & Wildlife",181412,173600,41
,Total,1274730000,1254230000,
