Sector,Description,2010,2009
Public Administration Sector,National Guard,1000000,1733000
Public Administration Sector,Ministry of Interior,13000000,13698000
Public Administration Sector,Ministry of Foreign Affairs,400000,1700000
Public Administration Sector,Ministry of Justice & Islamic Affairs,650000,631000
Public Administration Sector,Civil Service Bureau,300000,13000
Public Administration Sector,Central Informatics Organization,300000,62000
Public Administration Sector,Survey & Land Registration Bureau,350000,906000
Social Services Sector,Ministry of Information,2087000,2933000
Social Services Sector,Ministry of Education,6435000,7280000
Social Services Sector,Ministry of Health,17200000,17240000
Social Services Sector,Ministry of Labour,100000,100000
Social Services Sector,General Organization for Youth & Sports,9700000,13700000
Social Services Sector,Ministry of Social Development,350000,1162000
Economic Services Sector,Ministry of Industry & Commerce,7415000,4137000
Economic Services Sector,Ministry of Finance,2300000,2400000
Infrastructure Sector,Ministry of Works,85019000,81239000
Infrastructure Sector,Ministry of Housing,90000000,80000000
Infrastructure Sector,"Post, Communication,Frequency and Transport Affairs",330000,400000
Infrastructure Sector,Civil Aviation Affairs,4876000,4406000
Infrastructure Sector,Customs Affairs,2018000,1582000
Miscellaneous Budget,Ministry of Municipalities & Agriculture Affairs (Agriculture Affairs),350000,401000
Miscellaneous Budget,Ministry of Municipalities & Agriculture Affairs (Municipalities Affairs),500000,530000
Miscellaneous Budget,Tender Board,150000,150000
Miscellaneous Budget,"Public Commission for the Protection of Marine Resources, Environment & Wildlife",3960000,2860000
Transfer Budget,Radio & TV Corporation,1355000,1355000
Transfer Budget,University of Bahrain,1555000,857000
Transfer Budget,Various Capital Projects,41200000,40525000
Transfer Budget,Economic Development Board,7000000,7000000
Transfer Budget,High Council for Islamic Affairs,1000000,1000000
Transfer Budget,General Organization of Port,4100000,15000000
,Total,305000000,305000000
