Description,2012,2011
Social Welfare Fund,26000000,26000000
Electricity & Water Authority,250000000,250000000
University of Bahrain,42878000,42878000
High Council for Vocational Training,3500000,3500000
Teachers' College (University of Bahrain),6000000,6000000
Bahrain Polytechnic,13100000,13100000
Food Subsidies,67000000,65890000
Royal Charity Organization,1880000,1880000
Housing Programme Support (Rent Allowance),34000000,34000000
Housing Programme Support (Housing Loans Reduction),4000000,4000000
Housing Programme Support,20000000,20000000
Reduce Cost of Living,75000000,50000000
Bahraini Families Subsidy,0,145000000
Total,543358000,662248000
