Sector,Description,2012,2011
Public Administration Sector,National Guard,6000000,6000000
Public Administration Sector,Ministry of Interior,30000000,30000000
Public Administration Sector,Customs Affairs,3280000,4000000
Public Administration Sector,Ministry of Foreign Affairs,2000000,2000000
Public Administration Sector,Ministry of Justice & Islamic Affairs & Awqaf (Justice Affairs),440000,1226000
Public Administration Sector,Ministry of Justice & Islamic Affairs & Awqaf (Islamic Affairs),800000,800000
Public Administration Sector,Civil Service Bureau,2000000,1330000
Public Administration Sector,Central Informatics Organization,7300000,2450000
Public Administration Sector,Survey & Land Registration Bureau,1421000,795000
Social Services Sector,Ministry of culture,19600000,8722000
Social Services Sector,Information Affairs Authority,7350000,6157000
Social Services Sector,Ministry of Education,17051000,15636000
Social Services Sector,Ministry of Health,20033000,25255000
Social Services Sector,Ministry of Labour,510000,346000
Social Services Sector,General Organization for Youth & Sports,19400000,22424000
Social Services Sector,Ministry of Social Development,1650000,2066000
Economic Services Sector,Ministry of Industry & Commerce,13394000,11991000
Economic Services Sector,Ministry of Finance,9000000,8000000
Infrastructure Sector,Ministry of Works,168978000,118222000
Infrastructure Sector,Ministry of Housing,180000000,180000000
Infrastructure Sector,Civil Aviation Affairs,5100000,4135000
Infrastructure Sector,"Post, Comm., Freq. & Transp. Affairs",0,0
Infrastructure Sector,"Post, Communication,Frequency and Transport Affairs",1700000,50000
Miscellaneous Budget,Ministry of Municipal Affairs & Urban Planning,8133000,7000000
Miscellaneous Budget,Tender & Auctions Board,400000,400000
Miscellaneous Budget,"Public Commission for the Protection of Marine Resources, Environment & Wildlife",11360000,9067000
Transfer Budget,University of Bahrain,4100000,3775000
Transfer Budget,Various Capital Projects,122769000,129108000
Transfer Budget,Economic Development Board,13000000,13000000
Transfer Budget,E. Government Authority,8000000,8000000
Transfer Budget,Bahrain Exhibition & Conv. Authority,0,500000
Transfer Budget,High Council for Islamic Affairs,1620000,1620000
Transfer Budget,General Organization of Port,13611000,10925000
,Total,700000000,635000000
