Description,2012,2011
The Court of H.R.H The Prime Minister,17285000,17285000
Deputy of H.R.H The Prime Minister,1125000,1125000
Deputy of H.R.H The Prime Minister,549000,549000
Deputy of H.R.H The Prime Minister,195000,195000
Deputy of H.R.H The Prime Minister,1000000,1000000
Minister of State for Follow-up Affairs,354000,354000
Advisor to H.R.H The Prime Minister,195000,195000
Advisor to H.R.H The Prime Minister,120000,120000
Advisor to H.R.H The Prime Minister for Economic Affairs,120000,120000
Advisor to H.R.H The Prime Minister for Security Affairs,120000,120000
Advisor to H.R.H The Prime Minister for Industry & Oil Affairs,120000,120000
Ministry of Defence,358420000,330320000
The General Commission for the Higher Defence Council,288000,288000
Ministry of Interior,202104000,197104000
Customs Affairs,14509000,14509000
National Security Agency,18218000,18218000
National Guard,24222000,24222000
legislation & legal Opinion Commission,2230000,2230000
Ministry of Foreign Affairs,29326000,29326000
Ministry of Justice & Islamic Affairs & Awqaf (Justice Affairs),18484000,18484000
Ministry of Justice & Islamic Affairs & Awqaf (Islamic Affairs),2500000,2500000
Ministry of Cabinet Affairs,1515000,1515000
Civil Service Bureau,4523000,4523000
Central Informatics Organization,7336000,7336000
Survey & Land Registration Bureau,5368000,5368000
Ministry of Culture,6500000,6500000
Information Affairs Authority,17665000,17665000
Ministry of Education,236000000,235500000
Ministry of Health,184066000,183366000
Ministry of Labour,5371000,5371000
Ministry of Social Development,22752000,22752000
General Organization for Youth & Sports,10000000,10000000
Youth & Sports High Council,1500000,1500000
National Olympic Committee of Bahrain,11500000,10600000
Ministry of Industry & Commerce,11048000,11048000
National Oil & Gas Authority,2652000,2652000
Ministry of Finance,7576000,7576000
Ministry of Housing,4091000,4091000
Ministry of Works,25161000,25161000
Minister for Electricity & Water Affairs,120000,120000
Electricity & Water Authority,250000000,250000000
"Post, Communication,Frequency and Transport Affairs",7754000,7754000
Civil Aviation Affairs,12897000,12897000
Ministry of Municipal Affairs & Urban Planning,9041000,9041000
Equestrian & Horse Racing Club,1304000,1304000
"Public Commission for the Protection of Marine Resources, Environment & Wildlife",5150000,5150000
Mohammed bin Khalifa Al Khalifa Cardiac Center,11850000,10750000
Ministry of Shura Council & Representatives Council Affairs,1270000,1270000
Tender & Auctions Board,964000,964000
Municipality Councils,612000,612000
Constitutional Court,2240000,2240000
Sunni Awqaf,2465000,2465000
Ja'afari Awqaf,2465000,2465000
University of Bahrain,42878000,42878000
Teachers' College (University of Bahrain),6000000,6000000
Food Subsidies,67000000,65890000
Bait Al-Qura'an,76000,76000
Shura Council,7963000,7556000
Districts,4208000,4208000
High Council for Islamic Affairs,3284000,3258000
National Audit Court,4150000,4150000
High Council for Vocational Training,3500000,3500000
Economic Development Board,6300000,6300000
Bahrain Exhibition & Conv. Authority,750000,750000
Royal Charity Organization,1880000,1880000
Representatives Council,8280000,8151000
Bahrain Institute for Political Development,1500000,1500000
Housing Programme Support (Rent Allowance),34000000,34000000
Housing Programme Support (Housing Loans Reduction),4000000,4000000
Housing Programme Support,20000000,20000000
Bahrain Institute for Public Administration,2000000,2000000
Maintenance Fund,250000,250000
E. Government Authority,4072000,4072000
Quality Assurance Authority,5400000,5400000
Bahrain Polytechnic,13100000,13100000
King Hamad Hospital,30000000,15000000
Labour Market Regulatory Authority,7000000,7000000
Social Welfare Fund,26000000,26000000
Isa Cutural Centre,1500000,1500000
Bahrain Chamber for dispute resolution,2500000,2500000
"Bahrain Centre for strategic, International and Energy Studies",1500000,1500000
Bahrain Stock Exchange,2000000,2000000
King Hamad library,1721000,2086000
National Health Regulatory Authority,1500000,1500000
Isa Award for Human Sciences,1000000,1000000
National Human Rights Institution,1000000,750000
Bahrain International Air Show,1473000,3273000
Government Debt Interest,180000000,160000000
Contribution to GCC,2800000,2800000
Government Grants,3000000,3000000
Government Share in Pension Fund,800000,750000
Contribution to United Nations Organization,1900000,1800000
Miscellaneous Commitments,8500000,8000000
The General Organization for Social Insurance,16500000,16500000
The Government's Share in Unemployment Insurance,17000000,16000000
Other Estimations for Line Ministries & Government Agencies,102965000,165926000
Reduce Cost of Living,75000000,50000000
Bahraini Families Subsidy,0,145000000
Risk Financing,600000,600000
UNDP-Bahrain Country Co-operation Framework (CCF),750000,750000
Early Retirement Scheme,14000000,14000000
Total,2305840000,2416094000
Reserve Account,69175000,72483000
Grand Total,2375015000,2488577000
