Description,2014,2013
Ministry of Interior,30000000,30000000
Ministry of Foreign Affairs,2000000,2000000
Ministry of Justice & Islamic Affairs & Awqaf (Justice Affairs),950000,1150000
Ministry of Education,12052000,12002000
Ministry of Health,13053000,12866000
Ministry of Municipalities Affairs & Urban Planning,15000000,12910000
Ministry of Labour,200000,216000
General Organization for Youth & Sports,9502000,14400000
Ministry of Social Development,522000,1765000
Ministry of Industry & Commerce,8501000,8213000
Ministry of Housing,120000000,120000000
Supreme Council for the Environment,1150000,650000
Ministry of Works,98705000,102242000
Ministry of Transportation,8140000,8390000
National Guard,7000000,7000000
Tender & Auctions Board,200000,200000
Information Affairs Authority,9600000,9862000
Ministry of Culture,10497000,14241000
First Deputy of H.R.H The Prime Minister Office,3000000,3000000
Civil Service Bureau,1000000,1000000
Central Informatics & Communications Organization,4508000,4804000
Ministry of Justice & Islamic Affairs & Awqaf (Islamic Affairs),800000,800000
Survey & Land Registration Bureau,1500000,3373000
Ministry of Finance,7000000,7000000
Customs Affairs,1000000,2796000
King Hamad University Hospital,10000000,10000000
E. Government Authority,8000000,8000000
University of Bahrain,4000000,4000000
High Council for Islamic Affairs,1620000,1620000
Economic Development Board,13000000,13000000
Gulf Air Company,75000000,95000000
Various Capital Projects,73500000,59000000
Total,551000000,571500000
