Sector,Description,2014,2013
Public Administration Sector,The Court of H.R.H The Prime Minister,18151000,18151000
Public Administration Sector,First Deputy of H.R.H The Prime Minister Office,2000000,2000000
Public Administration Sector,Deputy of H.R.H The Prime Minister,1000000,1000000
Public Administration Sector,Deputy of H.R.H The Prime Minister,748000,748000
Public Administration Sector,Deputy of H.R.H The Prime Minister,1175000,1175000
Public Administration Sector,Deputy of H.R.H The Prime Minister,600000,600000
Public Administration Sector,Deputy of H.R.H The Prime Minister,195000,195000
Public Administration Sector,Advisor to H.R.H The Prime Minister,141000,141000
Public Administration Sector,Advisor to H.R.H The Prime Minister for Economic Affairs,126000,126000
Public Administration Sector,Advisor to H.R.H The Prime Minister for Security Affairs,135000,135000
Public Administration Sector,Advisor to H.R.H The Prime Minister for Industry & Oil Affairs,126000,126000
Public Administration Sector,Minister of State for Follow-up Affairs,359000,359000
Public Administration Sector,Ministry of Defence,501980000,464970000
Public Administration Sector,King Hamad University Hospital,38000000,35000000
Public Administration Sector,The General Commission for the Higher Defence Council,288000,288000
Public Administration Sector,Ministry of Interior,355000000,330000000
Public Administration Sector,National Security Agency,27300000,25000000
Public Administration Sector,Legislation & Legal Opinion Commission,2375000,2375000
Public Administration Sector,Ministry of Foreign Affairs,30246000,30246000
Public Administration Sector,Ministry of Justice & Islamic Affairs & Awqaf (Justice Affairs),12794000,12794000
Public Administration Sector,Supreme Judicial Council,8280000,8280000
Public Administration Sector,National Guard,37200000,34200000
Public Administration Sector,Ministry of Cabinet Affairs,1684000,1684000
Public Administration Sector,Civil Service Bureau,5085000,5085000
Public Administration Sector,Central Informatics & Communications Organization,8725000,8725000
Public Administration Sector,Ministry of Justice & Islamic Affairs & Awqaf (Islamic Affairs),4000000,4000000
Public Administration Sector,Survey & Land Registration Bureau,6030000,6030000
Public Administration Sector,Customs Affairs,16005000,16005000
Social Service Sector,Ministry of Education,330100000,325100000
Social Service Sector,Ministry of Health,218912000,213912000
Social Service Sector,Ministry of Labour,6067000,6067000
Social Service Sector,General Organization for Youth & Sports,13093000,13093000
Social Service Sector,Ministry of Social Development,24000000,24000000
Social Service Sector,Minister of State for Information Affairs,300000,300000
Social Service Sector,Ministry of Human Rights Affairs,2000000,2000000
Social Service Sector,Information Affairs Authority,19154000,19154000
Social Service Sector,Ministry of Culture,7535000,7535000
Social Service Sector,General Secretariat for Youth & Sports High Council,13011000,13011000
Economic Services Sector,Ministry of Industry & Commerce,11723000,11723000
Economic Services Sector,National Oil & Gas Authority,2652000,2652000
Economic Services Sector,Ministry of Finance,8338000,8338000
Infrastructure Sector,Ministry of Housing,5000000,5000000
Infrastructure Sector,Minister of State for Electricity & Water Affairs,300000,300000
Infrastructure Sector,Ministry of Works,29938000,29938000
Infrastructure Sector,Electricity & Water Authority,350000000,350000000
Infrastructure Sector,Ministry of Transportation,29920000,29910000
Infrastructure Sector,Minister of State for Communication Affairs,300000,300000
Miscellaneous Budget,Ministry of Municipalities Affairs & Urban Planning,11744000,11744000
Miscellaneous Budget,Rashed Club for Equestrian & Horse Racing,1452000,1452000
Miscellaneous Budget,Supreme Council for the Environment,4428000,4428000
Miscellaneous Budget,Mohammed bin Khalifa Al Khalifa Cardiac Center,15700000,14700000
Miscellaneous Budget,Ministry of Shura Council & Representatives Council Affairs,1450000,1450000
Miscellaneous Budget,Tender & Auctions Board,1048000,1048000
Transfer Budget,Municipality Councils,612000,612000
Transfer Budget,Constitutional Court,2240000,2361000
Transfer Budget,Alimony Fund,250000,250000
Transfer Budget,Bahrain Chamber for Dispute Resolution,1500000,1500000
Transfer Budget,E. Government Authority,4072000,4072000
Transfer Budget,National Health Regulatory Authority,1500000,1500000
Transfer Budget,Sunni Awqaf,2700000,2700000
Transfer Budget,Ja'afari Awqaf,2700000,2700000
Transfer Budget,Bahrain Bourse,2000000,2000000
Transfer Budget,University of Bahrain,45278000,45278000
Transfer Budget,Teachers' College (University of Bahrain),6000000,6000000
