Sector,Description,2016,2015
Public Administration Sector,The Court of H.R.H The Prime Minister,19342000,19342000
Public Administration Sector,First Deputy of H.R.H The Prime Minister Office,1804000,1860000
Public Administration Sector,Deputy of H.R.H The Prime Minister,950000,955000
Public Administration Sector,Deputy of H.R.H The Prime Minister,685000,721000
Public Administration Sector,Deputy of H.R.H The Prime Minister,1060000,1093000
Public Administration Sector,Deputy of H.R.H The Prime Minister,564000,581000
Public Administration Sector,Advisor to H.R.H The Prime Minister,176000,181000
Public Administration Sector,Advisor to H.R.H The Prime Minister for Economic Affairs,249000,257000
Public Administration Sector,Advisor to H.R.H The Prime Minister for Industrial & Oil Affairs,142000,140000
Public Administration Sector,Ministry of Follow-up Affairs,324000,334000
Public Administration Sector,Ministry of Defence,494450000,494450000
Public Administration Sector,King Hamad University Hospital,37430000,37430000
Public Administration Sector,The General Commission for the Higher Defence Council,284000,284000
Public Administration Sector,Ministry of Interior,355000000,350400000
Public Administration Sector,National Security Agency,34812000,35889000
Public Administration Sector,Legislation & Legal Opinion Commission,2468000,2534000
Public Administration Sector,Ministry of Foreign Affairs,30047000,30047000
Public Administration Sector,Ministry of Justice & Islamic Affairs & Awqaf (Justice Affairs),10500000,10794000
Public Administration Sector,Administrative Organization for Public Prosecution,3000000,3000000
Public Administration Sector,Supreme Judicial Council,12192000,12108000
Public Administration Sector,National Guard,40200000,40050000
Public Administration Sector,General Secretariat of the Cabinet,1519000,1566000
Public Administration Sector,Civil Service Bureau,5930000,5916000
Public Administration Sector,Central Informatics Organization,8078000,8114000
Public Administration Sector,Ministry of Justice & Islamic Affairs & Awqaf (Islamic Affairs),3752000,3732000
Public Administration Sector,Survey & Land Registration Bureau,7530000,7701000
Public Administration Sector,Customs Affairs,15214000,15110000
Social Services Sector,Ministry of Education,318710000,315472000
Social Services Sector,Ministry of Health,238912000,233912000
Social Services Sector,Supreme Council for Health,271000,279000
Social Services Sector,Ministry of Labour,5793000,5793000
Social Services Sector,General Organization for Youth & Sports,11960000,12239000
Social Services Sector,Ministry of Social Development,10905000,10956000
Social Services Sector,Ministry of Information Affairs,425000,425000
Social Services Sector,Information Affairs Authority,21154000,21154000
Social Services Sector,Bahrain Authority for Culture & Antiquities,7483000,7652000
Social Services Sector,General Secretariat for Youth & Sports High Council,10670000,11184000
Social Services Sector,Ministry of Youth & Sports Authority,271000,279000
Economic Services Sector,Ministry of Industry & Commerce,11335000,11653000
Economic Services Sector,National Oil & Gas Authority,2392000,2466000
Economic Services Sector,Ministry of Finance,7521000,7754000
Infrastructure Sector,Ministry of Housing,5000000,5000000
Infrastructure Sector,"Ministry of Works, Municipalities Affairs & Urban Planning (Works Affairs)",39007000,39842000
Infrastructure Sector,Ministry of Energy,271000,279000
Infrastructure Sector,Electricity & Water Authority,315735000,325500000
Infrastructure Sector,Ministry of Transportation & Telecommunications,32231000,32851000
Miscellaneous Budget,"Ministry of Works, Municipalities Affairs & Urban Planning (Municipalities Affairs & Urban Planning)",11319000,11219000
Miscellaneous Budget,Rashed Club for Equestrian & Horse Racing,1876000,1876000
Miscellaneous Budget,Supreme Council for the Environment,6542000,6493000
Miscellaneous Budget,Mohammed bin Khalifa Al Khalifa Cardiac Center,15465000,15465000
Miscellaneous Budget,Ministry of Shura Council & Representatives Council Affairs,1344000,1486000
